Institution,Titre_du_poste,Domaine,Date
Banque,Responsable des Affaires Juridiques,Droit,22-Dec-21
Banque,Directeur de Crédit,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Directeur Administratif et Financier,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Directeur Réseau et Opérations,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Directeur des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Directeur de Risque et Conformité,Sciences économiques et politiques,22-Dec-21
BRH,Secrétaires administratifs.ves,Secrétariat,21-Dec-21
CRS,MEAL Officer LEGO,Sciences économiques et politiques,21-Dec-21
CRS,Senior Project Officer LEGO,Sciences de l’Education,21-Dec-21
CRS,Project Manager LEGO,Sciences Humaines et Sociales,21-Dec-21
CRS,Accountability Officer,Sciences Humaines et Sociales,21-Dec-21
CRS,Protection Officer,Sciences Humaines et Sociales,21-Dec-21
CRS,Resilience & Capacity Building Manager,Agriculture – Agroalimentaire,21-Dec-21
J/P HRO,Communication & Behavior Change Specialist,Communication et Journalisme,20-Dec-21
Sommets Education / ZL,Coordonnateur/trice du Programme de Cantine Scolaire,"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-21
Hope for Haiti,Human Resource and Employee Experience Manager,"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-21
ProCroissance S.A.,Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce",20-Dec-21
ICRC,Responsable logistique pour le pays,Transport et Logistique,19-Dec-21
ICRC,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",19-Dec-21
ICRC,Agent-e ressources humaines (RH),"Management/Gestion, Finance, Comptabilité et Commerce",19-Dec-21
ICRC,Agent-e de Premiers Secours et Soins Préhospitaliers,Santé et Professions médicales,19-Dec-21
PNUD Haiti,Coordonnateur pour le Cholera,Sciences Humaines et Sociales,18-Dec-21
WeltHungerHilfe (Agro Action Allemande),Coordonnateur Consortium,Sciences économiques et politiques,17-Dec-21
ISPD,Assistant (e) de Programme,Secrétariat,15-Dec-21
UCMIT/UCP,Officier Gestionnaire PLR,Santé et Professions médicales,15-Dec-21
MSI,Agent de Terrain/Field Officer,Communication et Journalisme,15-Dec-21
Project Medishare for Haiti,Coordonnateur (trice) de suivi et d'évaluation,Sciences Informatiques,15-Dec-21
Secteur prive,Quality & Performance Manager,Sciences de l’Ingénieur,15-Dec-21
CRS,SIMAST Officer,Sciences Humaines et Sociales,14-Dec-21
CRS,Logistic Assistant,Transport et Logistique,14-Dec-21
Protos Haïti,Agent administratif financier (m/f),"Management/Gestion, Finance, Comptabilité et Commerce",13-Dec-21
Helvetas Swiss Intercooperation,Animateur.trice social.e,Sciences Humaines et Sociales,13-Dec-21
CFI,Spécialiste en passation de marchés,"Management/Gestion, Finance, Comptabilité et Commerce",13-Dec-21
BRH,Technicien informatique succursale Cap-Haitien,Sciences Informatiques,12-Dec-21
BRH,Gestionnaire de Stock à la Direction Information et Technologie,"Management/Gestion, Finance, Comptabilité et Commerce",10-Dec-21
BRH,Administrateur de Base de données Oracle Junior,Sciences Informatiques,10-Dec-21
ZL/PIH,Gestionnaire de Programme,Santé et Professions médicales,09-Dec-21
DAI/WASH,Field Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-21
DAI/WASH,Office Manager,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-21
Helvetas Swiss Intercooperation,Coordonnateur/trice PARER,"Management/Gestion, Finance, Comptabilité et Commerce",08-Dec-21
BRH,Technicien informatique,Sciences Informatiques,08-Dec-21
BRH,Analyste testeur,Sciences Informatiques,08-Dec-21
BRH,Analyste-programmeur Junior,Sciences Informatiques,08-Dec-21
BRH,Analyste Cybersécurité,Sciences Informatiques,08-Dec-21
BRH,Administrateur réseau informatique III,Sciences Informatiques,08-Dec-21
BRH,Administrateur de Base de données Oracle Senior,Sciences Informatiques,08-Dec-21
BRH,Administrateur d’applications,Sciences Informatiques,08-Dec-21
IMA World Health,WASH Project engineer,Sciences de l’Ingénieur,07-Dec-21
Action Contre la Faim - Haïti,Référent (e) Technique Nutrition-Santé et Communication pour le changement de comportement,Santé et Professions médicales,06-Dec-21
MARNDR/DDAS/PAIS,Responsable de Suivi et Evaluation (RSE),Agriculture – Agroalimentaire,06-Dec-21
Ambassade de Suisse,Coordinateur/Coordinatrice Terrain GRD (Gestion Risques et Désastres),"Architecture, Urbanisme et Aménagement du territoire",05-Dec-21
CRS,Field Officer,Sciences Humaines et Sociales,04-Dec-21
CRS,"Monitoring, Evaluation, Adaptation and Learning Specialist (MEAL)",Sciences économiques et politiques,04-Dec-21
CRS,Technical Coordinator,Sciences économiques et politiques,04-Dec-21
MSF B,Responsable Administration du Personnel (PAM),"Management/Gestion, Finance, Comptabilité et Commerce",03-Dec-21
Concern Worldwide Haiti,Coordinateur Urbain Programme,Sciences Humaines et Sociales,03-Dec-21
MDM Canada,Ressource Professionnelle Institutionnelle,Santé et Professions médicales,01-Dec-21
CRS,Human Resources Manager,"Management/Gestion, Finance, Comptabilité et Commerce",01-Dec-21
Concern Worldwide Haiti,Technicien (ne) Moyens de Subsistance et AVEC,Sciences Humaines et Sociales,30-Nov-21
FONKOZE,Auditeur Interne,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-21
AC,Haiti Field Office Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",30-Nov-21
Project HOPE,Les Cayes WASH Officer,Environnement et Sciences de la Terre,30-Nov-21
MSF B,Sage-Femmes,Santé et Professions médicales,29-Nov-21
CMMB,Communications Officer,Communication et Journalisme,28-Nov-21
Plan International-Haiti,Child Protection in Emergency Coordinator,Sciences Humaines et Sociales,26-Nov-21
CRS,Strong Beginnings  Program Manager (PM I),Sciences de l’Education,26-Nov-21
CRS,"Conseiller Technique I Consolidation de la Paix, Cohésion Sociale et Justice",Sciences Humaines et Sociales,26-Nov-21
Saint Jean Capital,Business Director - Jacmel,"Management/Gestion, Finance, Comptabilité et Commerce",26-Nov-21
Secteur ong,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",25-Nov-21
WeltHungerHilfe (Agro Action Allemande),Responsable volet agricole,Agriculture – Agroalimentaire,25-Nov-21
MSF B,Responsable des Activités Médicales en Support au MedCo,Santé et Professions médicales,24-Nov-21
IFRC,Finance and Administration Officer,"Management/Gestion, Finance, Comptabilité et Commerce",24-Nov-21
CRS,Gestionnaire des opérations (RFSA),"Management/Gestion, Finance, Comptabilité et Commerce",24-Nov-21
Project HOPE,Mental health and Psychosocial Support (MHPSS) Specialist,Santé et Professions médicales,24-Nov-21
FHI/Humanité & Inclusion_ HI,Officier d’Action Humanitaire Inclusive,Sciences Humaines et Sociales,23-Nov-21
MDM Canada,Coordonnatrice des Activités communautaires,Santé et Professions médicales,23-Nov-21
CFET S.A.,"Senior Monitoring, Evaluation and Learning Specialist",Sciences économiques et politiques,23-Nov-21
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Conseiller/Conseillère technique agricole,Agriculture – Agroalimentaire,23-Nov-21
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agents de Crédit (2),"Management/Gestion, Finance, Comptabilité et Commerce",23-Nov-21
Industrias San Miguel,Assistant Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",22-Nov-21
Gèrye Jwa/Life is Good Playmakers-Ayiti,Gestionnaire de formation & Développement de partenariat,Sciences de l’Education,22-Nov-21
DAI/WASH,The Gender and Social Inclusion (GESI) Lead,Sciences Humaines et Sociales,21-Nov-21
DAI/WASH,Grants Manager,"Management/Gestion, Finance, Comptabilité et Commerce",21-Nov-21
DAI/WASH,Human Resources (HR) Manager,"Management/Gestion, Finance, Comptabilité et Commerce",21-Nov-21
DAI/WASH,Informational Technology (IT) Specialist,Sciences Informatiques,21-Nov-21
DAI/WASH,Procurement Manager,"Management/Gestion, Finance, Comptabilité et Commerce",21-Nov-21
DAI/WASH,"Environmental Compliance (EC) and Monitoring, Evaluation, and Learning (MEL) Specialist",Environnement et Sciences de la Terre,21-Nov-21
CFET S.A.,IT and Data Manager,Sciences Informatiques,20-Nov-21
CFET S.A.,Senior Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",20-Nov-21
Secteur prive,Comptable en Chef,"Management/Gestion, Finance, Comptabilité et Commerce",20-Nov-21
Industrias San Miguel,Technicien en informatique,Sciences Informatiques,19-Nov-21
UCMIT/UCP,Suivi et Evaluation des données,Santé et Professions médicales,19-Nov-21
AVSF,Gestionnaire Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",19-Nov-21
CFET S.A.,Operations Officer,"Management/Gestion, Finance, Comptabilité et Commerce",19-Nov-21
Consortium Progettomondo/CISV,Administrateur.trice Pays,"Management/Gestion, Finance, Comptabilité et Commerce",19-Nov-21
ProCroissance S.A.,Gestionnaire en Relations Clients,"Management/Gestion, Finance, Comptabilité et Commerce",19-Nov-21
DAI/WASH,Security Manager,Sciences économiques et politiques,18-Nov-21
CDS,Infirmier/ère en soins,Santé et Professions médicales,17-Nov-21
Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire",17-Nov-21
British Embassy (FCO - Gov.UK),Political Affairs Officer,Sciences économiques et politiques,17-Nov-21
AVSF,Référend Projet Nord,Agriculture – Agroalimentaire,15-Nov-21
DAI/WASH,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-21
WeltHungerHilfe (Agro Action Allemande),Assistant (e) MEAL,Sciences Informatiques,15-Nov-21
GADEL,"Officier de suivi, de systématisation et de capitalisation",Agriculture – Agroalimentaire,15-Nov-21
GRET Haiti,Un / une chef(fe) de projet sur le projet Timama 2 (santé maternelle et infantile),Santé et Professions médicales,15-Nov-21
Consortium Progettomondo/CISV,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-21
FetJ-H,Administrateur/Administratrice,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-21
FetJ-H,Coordonnateur de projets,Agriculture – Agroalimentaire,15-Nov-21
Samaritan Purse,WASH Engineer/ Program Manager,Sciences de l’Ingénieur,15-Nov-21
Samaritan Purse,Security Program Manager,Sécurité,15-Nov-21
Oxfam-Québec,Conseillère ou conseiller en Suivi-évaluation-apprentissage-redevabilité et gestion de programme,"Management/Gestion, Finance, Comptabilité et Commerce",15-Nov-21
Ambassade de Suisse,un(e) Chargé(e) National(e) de Sécurité,Sécurité,14-Nov-21
Secteur prive,Représentant .e commercial.e,Marketing,13-Nov-21
UCMIT/UCP,Infirmière pour le partenariat Public-Privé pour le contrôle de la  tuberculose dans le pays,Santé et Professions médicales,12-Nov-21
Solidarites International,Coordinateur (trice) Accès humanitaire et Sécurité,Sciences Humaines et Sociales,12-Nov-21
ASFC,Stagiaire pour susciter l'émergence de jeunes juristes,Droit,12-Nov-21
ISTEAH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",11-Nov-21
DAI/WASH,"Monitoring, Evaluation, and Learning (MEL) Director",Sciences Humaines et Sociales,10-Nov-21
J/P HRO,Haiti Takes Roots Executive Director,Environnement et Sciences de la Terre,10-Nov-21
WeltHungerHilfe (Agro Action Allemande),Environnementaliste,Environnement et Sciences de la Terre,10-Nov-21
WeltHungerHilfe (Agro Action Allemande),Responsable volet Social,Sciences Humaines et Sociales,10-Nov-21
Plan International-Haiti,National Accountant,"Management/Gestion, Finance, Comptabilité et Commerce",10-Nov-21
UCMIT/UCP,Chargé de Suivi et Évaluation,Santé et Professions médicales,10-Nov-21
CFI,Directeur Des Études et Informations économiques et commerciales (Marketing et Image Pays),Marketing,10-Nov-21
BEST Project_USAID/LUMOS,Assistant en Communication et Plaidoyer,Communication et Journalisme,09-Nov-21
CRS,Chargé d’entrepôt (RFSA),"Management/Gestion, Finance, Comptabilité et Commerce",09-Nov-21
CRS,Chargé des achats,"Management/Gestion, Finance, Comptabilité et Commerce",09-Nov-21
CRS,Chargé des finances RFSA,"Management/Gestion, Finance, Comptabilité et Commerce",09-Nov-21
CRS,Chargé d’administration,"Management/Gestion, Finance, Comptabilité et Commerce",09-Nov-21
CRS,Chauffeur,Transport et Logistique,09-Nov-21
Solidarites International,Gestionnaire Financier/ère,"Management/Gestion, Finance, Comptabilité et Commerce",07-Nov-21
AIC,Responsable Marketing,Marketing,06-Nov-21
COWATER/PAMIF-PNH,Assistant (e) administratif (e),Secrétariat,05-Nov-21
UCMIT/UCP,Gestionnaire de données,Santé et Professions médicales,05-Nov-21
Mercy Corps Haiti,MEL Officer - Miragaone,Sciences Informatiques,05-Nov-21
KNH-HAITI,Responsable Finance & Controlling,"Management/Gestion, Finance, Comptabilité et Commerce",05-Nov-21
Build Health International,Purchasing and Logistics Coordinator,Transport et Logistique,03-Nov-21
USAID,Development Outreach and Communications Specialist,Communication et Journalisme,02-Nov-21
USAID,Financial Analyst,"Management/Gestion, Finance, Comptabilité et Commerce",02-Nov-21
USAID,Project Management Specialist (Diaspora Engagement),"Management/Gestion, Finance, Comptabilité et Commerce",02-Nov-21
USAID,Project Management Specialist (Health - Supply Chain),"Management/Gestion, Finance, Comptabilité et Commerce",02-Nov-21
USAID,Senior Development Outreach and Communications Specialist,Communication et Journalisme,02-Nov-21
USAID,Project Management Specialist (Agriculture and Livestock),Sciences de l’Ingénieur,02-Nov-21
Concern Worldwide Haiti,Officier/ère de Programme,Sciences Humaines et Sociales,02-Nov-21
CRS,MEAL Officer,Sciences économiques et politiques,02-Nov-21
CRS,Senior MEAL Officer - Education,Sciences économiques et politiques,01-Nov-21
Secteur prive,Responsable des opérations,Agriculture – Agroalimentaire,01-Nov-21
Project HOPE,"Water, Sanitation and Hygiene (WASH) Program Manager -  HAITI",Environnement et Sciences de la Terre,31-Oct-21
Project HOPE,Nurse,Santé et Professions médicales,31-Oct-21
Project HOPE,Community Healthcare Agents,Santé et Professions médicales,31-Oct-21
Compassion International - Haiti,FCP Infrastructure Construction Manager,Sciences de l’Ingénieur,31-Oct-21
MDM Canada,Conseiller (ère) genre et plaidoyer,Sciences Humaines et Sociales,31-Oct-21
Project HOPE,Medical Doctor,Santé et Professions médicales,31-Oct-21
FDF,Manadjè Swivi Evalyasyon ak Aprantisaj,Sciences économiques et politiques,30-Oct-21
Samaritan Purse,Operations Manager,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
Consortium Progettomondo/CISV,Chargé.e de suivi des projets en cascade,Sciences Humaines et Sociales,29-Oct-21
CDS,Responsable des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
Mercy Corps Haiti,Officier des Ressources Humaines-Miragoane,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
IFES,Chauffeur,Transport et Logistique,29-Oct-21
World Concern,Haiti Program Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
Mercy Corps Haiti,Deputy Manager - WASH Miragoane,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
Mercy Corps Haiti,Livelihoods Manager / Head of Office (HoO) Grand'Anse,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
Mercy Corps Haiti,Officier Genre et Jeunesse Cap-Haitien,Sciences Humaines et Sociales,29-Oct-21
STRATEGYS,Coordonnatrice/ Coordonnateur de support au programme,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-21
CMMB,Project Manager (Côtes-de-Fer),Sciences de l’Ingénieur,28-Oct-21
CMMB,Project Manager (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce",28-Oct-21
CRS,Emergency Response Program Manager I,Sciences Humaines et Sociales,28-Oct-21
CRS,Officier Senior de Projet CTWWC,"Management/Gestion, Finance, Comptabilité et Commerce",28-Oct-21
CRS,Officier de Renforcement des Capacités/Renforcement des familles,Sciences Humaines et Sociales,28-Oct-21
CRS,Travailleur Social CTWWC,Sciences Humaines et Sociales,28-Oct-21
CRS,Child Protection Senior MEAL Officer,Sciences économiques et politiques,28-Oct-21
Quala Ayiti,Jefe de ventas,Marketing,28-Oct-21
Quala Ayiti,Gerente de marca,Marketing,28-Oct-21
Plan International-Haiti,Logistics Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",27-Oct-21
Secteur prive,Agent de recouvrement,"Management/Gestion, Finance, Comptabilité et Commerce",27-Oct-21
Hope for Haiti,Gynecologist,Santé et Professions médicales,27-Oct-21
IFRC,Mental Health Psychosocial Support MHPSS officer,Santé et Professions médicales,26-Oct-21
Plan International-Haiti,Engagement communautaire spécialiste,Sciences Humaines et Sociales,25-Oct-21
CRS,HR Assistant - Les Cayes,"Management/Gestion, Finance, Comptabilité et Commerce",25-Oct-21
CRS,Chargé d’administration,"Management/Gestion, Finance, Comptabilité et Commerce",25-Oct-21
Secteur prive,Jeune juriste,"Management/Gestion, Finance, Comptabilité et Commerce",24-Oct-21
Secteur prive,Customer Service Agent,Langues et Lettres,23-Oct-21
CRS,Ingenieur Civil,Sciences de l’Ingénieur,22-Oct-21
Caisse Populaire Fraternite,Directrice/Directeur des Opérations,"Management/Gestion, Finance, Comptabilité et Commerce",22-Oct-21
SOS Villages d'Enfants Haiti,Assistant  Pédagogique,Sciences de l’Education,22-Oct-21
Mercy Corps Haiti,Senior MEL Officer,Sciences Informatiques,22-Oct-21
CARE Haiti,Coordonnateur/trice National(e) Programme Urgence,Sciences Humaines et Sociales,22-Oct-21
CRS,General Accounts manager,"Management/Gestion, Finance, Comptabilité et Commerce",21-Oct-21
CRS,Conseiller Technique 1 – Eau &Assainissement,Sciences de l’Ingénieur,21-Oct-21
US Embassy Port-au-Prince,Public Health Specialist (Retention Advisor),Santé et Professions médicales,21-Oct-21
US Embassy Port-au-Prince,Public Health Specialist (Key Populations Advisor),Santé et Professions médicales,21-Oct-21
FHI/Humanité & Inclusion_ HI,Officier Finance,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-21
Mercy Corps Haiti,"Officier Suivi, Evaluation et Apprentissage",Sciences Informatiques,20-Oct-21
Mercy Corps Haiti,Gestionnaire adjoint de programme de transferts monétaires-Miragoane,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-21
Mercy Corps Haiti,Officier Senior a la Logistique Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-21
Mercy Corps Haiti,Assistant IT-Nippes,Sciences Informatiques,20-Oct-21
Mercy Corps Haiti,Assistant de redevabilité et systèmes d’information -Miragoane,Sciences Humaines et Sociales,20-Oct-21
Mercy Corps Haiti,Officier Senior a la Logistique-Nippes,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-21
US Embassy Port-au-Prince,Public Health Specialist (OVC DREAMS Advisor),Santé et Professions médicales,20-Oct-21
Action Contre la Faim - Haïti,Chargé Cash For Work,"Management/Gestion, Finance, Comptabilité et Commerce",19-Oct-21
IMA World Health,Emergency Responses Program Manager,Environnement et Sciences de la Terre,19-Oct-21
IMA World Health,M&E Manager,Sciences économiques et politiques,19-Oct-21
J/P HRO,Office Manager,"Management/Gestion, Finance, Comptabilité et Commerce",18-Oct-21
BEST Project_USAID/LUMOS,"Deputy Chief of Party/Program-BEST Project, reporting to Chief of Party, BEST Project",Sciences Humaines et Sociales,18-Oct-21
FONKOZE,Direktè Pwogram Devlopman Ekonomik,"Management/Gestion, Finance, Comptabilité et Commerce",18-Oct-21
ISPD,"Agent Administratif, Approvisionnement et Achat","Management/Gestion, Finance, Comptabilité et Commerce",17-Oct-21
IFRC,Officer de Santé Publique,Santé et Professions médicales,17-Oct-21
